strategy_id,window_id,decision_date,holding_end_date,trading_days,is_complete_period,gross_return,net_return,wealth,drawdown,turnover,turnover_convention,transaction_cost,financing_cost,financing_year_fraction,short_notional,cash_borrow_notional,gross_exposure,net_exposure,w_SP500,w_NASDAQ,w_DOW,w_SSE50,w_DIVIDEND,w_CHINEXT,w_GOLD
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-04-30,2025-05-30,18,True,0.03294752227345921,0.03211940911290534,117209.541364492,0.0,0.8020206922662738,drifted_pretrade_v1,0.0008020206922662738,0.0,0.0821917808219178,0.0,0.0,1.0,1.0,0.1142564978450537,0.1510134533047676,0.2760984731838107,0.0756205974146724,0.0897906715050339,0.0159427700564265,0.277277536690235
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-05-30,2025-06-30,19,True,0.03076958467862001,0.030092345474816318,120736.65137617708,0.0,0.6572388167040382,drifted_pretrade_v1,0.0006572388167040381,0.0,0.08493150684931507,0.0,0.0,0.9999999999999996,0.9999999999999996,0.0704764620800103,0.2121654834066118,0.0288467700992311,0.102158796920308,0.0566171420205917,0.1471027191196168,0.3826326263536299
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-06-30,2025-07-31,22,True,0.032978121012891215,0.03257213493309985,124669.30187617255,0.0,0.25459760943533405,drifted_pretrade_v1,0.00025459760943533403,0.0001385045035251956,0.08493150684931507,0.0543592943942972,0.0,1.108718588788594,0.9999999999999996,0.108470625882702,0.2118499345013074,-0.0543592943942972,0.1521291003429463,0.0538894352370074,0.1940267485433391,0.3339934498869946
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-07-31,2025-08-29,21,True,0.01557242036836981,0.01427128761265073,126448.49333971579,0.0,1.1619564308288075,drifted_pretrade_v1,0.0011619564308288075,0.00012004664044976681,0.07945205479452055,0.050364395131224,0.0,1.1007287902624479,0.9999999999999998,0.3859448400392596,0.4212944765641754,0.0410196982856307,-0.050364395131224,0.0170384419217172,0.0030481379545693,0.1820188003658716
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-08-29,2025-09-30,21,True,0.07088101124321367,0.07033848424113187,135342.68869580625,0.0,0.4992672257705519,drifted_pretrade_v1,0.0004992672257705518,7.478593456068559e-06,0.08767123287671233,0.0028434235536094,0.0,1.0056868471072187,0.9999999999999998,0.2508213817208474,0.431097537937707,-0.0028434235536094,0.0335640278245721,0.0245493418603603,0.1489626619100038,0.1138484723001185
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-09-30,2025-10-31,17,True,0.03442867145597095,0.03337071112958889,139859.17046377587,0.0,1.023271819893694,drifted_pretrade_v1,0.001023271819893694,0.0,0.08493150684931507,0.0,0.0,0.9999999999999999,0.9999999999999999,0.060186616091856,0.1637776191745485,0.1098598746050681,0.1388543577332581,0.2367158704836454,0.0882486635286893,0.2023569983829345
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-10-31,2025-11-28,19,True,0.0093919453249387,0.008808273641655262,141091.08830851573,0.0,0.5499457189777541,drifted_pretrade_v1,0.0005499457189777541,2.8462403339065875e-05,0.07671232876712329,0.0123675919270941,0.0,1.0247351838541883,1.0,0.0834090714209846,0.2021017593198589,0.1462183023669891,0.0290444570460489,0.1685709391587547,-0.0123675919270941,0.3830230626144579
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-11-28,2025-12-31,22,True,0.003236598046040262,0.002519294138545236,141446.53826029235,0.0,0.5375419306505882,drifted_pretrade_v1,0.0005375419306505882,0.00017770356943214798,0.09041095890410959,0.0655169725684182,0.0,1.1310339451368363,0.9999999999999999,0.0372631055968148,0.0784125532688838,0.0945799473407012,0.1544398393215876,0.2741835057469352,-0.0655169725684182,0.4266380212934955
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2025-12-31,2026-01-30,19,True,0.05195713197984908,0.05127425052767376,148699.10349932278,0.0,0.6493640993102023,drifted_pretrade_v1,0.0006493640993102024,0.0,0.0821917808219178,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0613173008896411,0.2539884211495518,0.0053627266548573,0.140424368996173,0.2307144051417709,0.0556908164173364,0.2525019607506692
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2026-01-30,2026-02-27,14,False,-0.003990132030977311,-0.004511341350207365,148028.27108496753,-0.004511341350207254,0.5234343125678982,drifted_pretrade_v1,0.0005234343125678982,0.0,0.07671232876712329,0.0,0.0,0.9999999999999994,0.9999999999999994,0.0360279396442428,0.1437034061444656,0.2139244167400258,0.1754467197028654,0.1595519550410764,0.0682422032845872,0.2031033594427363
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2026-02-27,2026-03-31,22,True,-0.06442376618390089,-0.06496869951119477,138411.0668216866,-0.069186944880828,0.5826271227025976,drifted_pretrade_v1,0.0005826271227025977,0.0,0.08767123287671233,0.0,0.0,1.0,1.0,0.0906257441134325,0.2381375498005323,0.070343700038003,0.0935320298985711,0.1474575631187429,0.0198081068561545,0.3400953061745636
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2026-03-31,2026-04-30,20,True,0.08018533705429731,0.07930945174833304,149388.37264721646,0.0,0.6981007637561067,drifted_pretrade_v1,0.0006981007637561068,0.00011309392727663622,0.0821917808219178,0.045865870506635806,0.0,1.0917317410132714,0.9999999999999998,0.3633309975931686,0.2432304396027965,0.1479976449826998,-0.0239635384907679,0.013408928337906,-0.0219023320158679,0.2778978599900646
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2026-04-30,2026-05-29,17,True,0.062288408669222806,0.06130882771881785,158547.1986490392,0.0,0.841618396993925,drifted_pretrade_v1,0.0008416183969939251,8.09492190295572e-05,0.07945205479452055,0.0339614539606763,0.0,1.067922907921352,0.9999999999999994,0.2368928803862736,0.3657284715013312,0.0506414682870463,0.0541778832474456,-0.0339614539606763,0.2135967833721745,0.1129239671664046
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2026-05-29,2026-06-30,21,True,-0.031204922179216332,-0.03218859125332574,153443.78767736544,-0.03218859125332574,0.833464270684213,drifted_pretrade_v1,0.000833464270684213,0.0001824046376633314,0.08767123287671233,0.0693517632782458,0.0,1.1387035265564913,0.9999999999999998,0.1638730132952332,0.1857004864141345,-0.0693517632782458,0.1445897771045566,0.1310532713308931,0.1804924935102461,0.2636427216231822
moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,2026-06-30,2026-07-06,3,False,0.004258002533436445,0.003795398703003272,154026.16803010003,-0.028515361087816826,0.4385051268150195,drifted_pretrade_v1,0.00043850512681501954,2.224341536236012e-05,0.01643835616438356,0.0451047033736747,0.0,1.0902094067473487,0.9999999999999993,0.2935454526250914,0.2510605325257138,-0.0451047033736747,0.0791301668887691,0.1089187392299728,0.0890492313807563,0.2234005807233707
ppo_lstm_full_ensemble,locked_oos_v1,2024-07-31,2024-08-30,22,True,-0.004150263633855844,-0.004327351769774612,99567.26482302255,-0.004327351769774501,0.17784197431589885,drifted_pretrade_v1,0.00017784197431589886,0.0,0.0821917808219178,0.0,0.0,0.9999999999999996,0.9999999999999996,0.12279108358281,0.1753479376501803,0.1513980541444782,0.1256491768706057,0.0919376473940377,0.1421296764231684,0.1907464239347193
ppo_lstm_full_ensemble,locked_oos_v1,2024-08-30,2024-09-30,18,True,0.10778771071757531,0.10772270869542022,110292.92028715277,0.0,0.058679048948851564,drifted_pretrade_v1,5.867904894885156e-05,0.0,0.08493150684931507,0.0,0.0,0.9999999999999998,0.9999999999999998,0.1253474478044414,0.1770787869480306,0.1536408475500399,0.1230746155970596,0.118585952268248,0.115483625619007,0.1867887242131733
ppo_lstm_full_ensemble,locked_oos_v1,2024-09-30,2024-10-31,18,True,-0.012882258120335388,-0.012944736925906364,108865.20744924562,-0.012944736925906364,0.06329618066405478,drifted_pretrade_v1,6.329618066405477e-05,0.0,0.08493150684931507,0.0,0.0,0.9999999999999998,0.9999999999999998,0.1231016065459698,0.1666262140963225,0.1398567678406835,0.1352199757937342,0.0974178694188594,0.1439413395244627,0.1938362267799676
ppo_lstm_full_ensemble,locked_oos_v1,2024-10-31,2024-11-29,20,True,0.030092389436014333,0.02996788885334878,112127.66788608137,0.0,0.12087081541179864,drifted_pretrade_v1,0.00012087081541179864,0.0,0.07945205479452055,0.0,0.0,0.9999999999999994,0.9999999999999994,0.141012655414774,0.1813319484071272,0.1583324304149883,0.1134752278515537,0.1022891378329533,0.1139004664096448,0.1896581336689581
ppo_lstm_full_ensemble,locked_oos_v1,2024-11-29,2024-12-31,21,True,-0.010051268264626101,-0.010181910413545436,110985.99401678551,-0.010181910413545436,0.1319773093497209,drifted_pretrade_v1,0.00013197730934972092,0.0,0.08767123287671233,0.0,0.0,0.9999999999999997,0.9999999999999997,0.1170410255169761,0.1723191995373262,0.1463430063067269,0.1272825492745532,0.0963320891106766,0.1472783079570424,0.1934038222966984
ppo_lstm_full_ensemble,locked_oos_v1,2024-12-31,2025-01-27,16,True,0.00298008342692202,0.0028957703194225637,111307.38396413093,-0.007315624568093426,0.0840661274143021,drifted_pretrade_v1,8.40661274143021e-05,0.0,0.07397260273972603,0.0,0.0,0.9999999999999997,0.9999999999999997,0.1237305213397901,0.1741659623271387,0.1577988967000107,0.1239452255124758,0.117688109975175,0.112194421042555,0.1904768631028545
ppo_lstm_full_ensemble,locked_oos_v1,2025-01-27,2025-02-28,17,True,0.0034502926921009536,0.0033980516376168612,111685.6122024891,-0.003942431800520341,0.05206278256507514,drifted_pretrade_v1,5.2062782565075144e-05,0.0,0.08767123287671233,0.0,0.0,0.9999999999999999,0.9999999999999999,0.1243839603383093,0.1788546368014068,0.1514709286857397,0.1227832161355762,0.1195581867825239,0.1146997531875968,0.188249318068847
ppo_lstm_full_ensemble,locked_oos_v1,2025-02-28,2025-03-31,21,True,-0.011803219706759238,-0.011837199631728135,110363.56731485645,-0.015732964079991363,0.03438637918397178,drifted_pretrade_v1,3.438637918397178e-05,0.0,0.08493150684931507,0.0,0.0,0.9999999999999996,0.9999999999999996,0.1228851505987611,0.1765063466005293,0.1546640882700948,0.1223558953464297,0.101382007772502,0.1275306020131601,0.1946759093985226
ppo_lstm_full_ensemble,locked_oos_v1,2025-03-31,2025-04-30,20,True,-0.0018665780294893075,-0.0019628521046416436,110146.93995447672,-0.017664934702976365,0.09645876628018889,drifted_pretrade_v1,9.64587662801889e-05,0.0,0.0821917808219178,0.0,0.0,0.9999999999999996,0.9999999999999996,0.1267179950772386,0.1812926602948988,0.1581884787817087,0.1181275633562886,0.1178575764809336,0.1067143368235388,0.1911013891853924
ppo_lstm_full_ensemble,locked_oos_v1,2025-04-30,2025-05-30,18,True,0.03708444635934627,0.0370493538986838,114227.81291370721,0.0,0.03383818407615102,drifted_pretrade_v1,3.383818407615103e-05,0.0,0.0821917808219178,0.0,0.0,0.9999999999999996,0.9999999999999996,0.1256573085307276,0.1805427853350659,0.1532586175815334,0.1230637490150652,0.1183358310123106,0.1087179184059746,0.1904237901193223
ppo_lstm_full_ensemble,locked_oos_v1,2025-05-30,2025-06-30,19,True,0.03694139834919796,0.03684172153673382,118436.16218882414,0.0,0.09613041169553038,drifted_pretrade_v1,9.613041169553039e-05,0.0,0.08493150684931507,0.0,0.0,0.9999999999999996,0.9999999999999996,0.1143216221460273,0.1736396571953914,0.1480540760659745,0.1301381737792066,0.1061170995568058,0.1350334043947181,0.1926959668618759
ppo_lstm_full_ensemble,locked_oos_v1,2025-06-30,2025-07-31,22,True,0.027905939085290488,0.027843529731420347,121733.84299200398,0.0,0.06071688679576906,drifted_pretrade_v1,6.071688679576906e-05,0.0,0.08493150684931507,0.0,0.0,0.9999999999999997,0.9999999999999997,0.1144314093482015,0.1706252524595973,0.1354876168970284,0.1432829403285203,0.0955354188302798,0.1475282732364056,0.1931090888999667
ppo_lstm_full_ensemble,locked_oos_v1,2025-07-31,2025-08-29,21,True,0.058240008169334834,0.05820830804693422,128819.76402461967,0.0,0.029955961749888793,drifted_pretrade_v1,2.9955961749888794e-05,0.0,0.07945205479452055,0.0,0.0,0.9999999999999996,0.9999999999999996,0.1167047345777973,0.1697612745454534,0.1386672274442389,0.1427596569759771,0.0932658665347845,0.1448326786747201,0.1940085612470284
ppo_lstm_full_ensemble,locked_oos_v1,2025-08-29,2025-09-30,21,True,0.0663965091568155,0.06633068715386536,137364.46749137147,0.0,0.061725665696891835,drifted_pretrade_v1,6.172566569689184e-05,0.0,0.08767123287671233,0.0,0.0,0.9999999999999997,0.9999999999999997,0.1154416262970439,0.1693544455205222,0.1388467272610536,0.1398689370469323,0.0950618118380329,0.1444911072363277,0.1969353448000871
ppo_lstm_full_ensemble,locked_oos_v1,2025-09-30,2025-10-31,17,True,0.02841343650912087,0.028346962219905292,141258.3328617068,0.0,0.06463979886015957,drifted_pretrade_v1,6.463979886015957e-05,0.0,0.08493150684931507,0.0,0.0,0.9999999999999999,0.9999999999999999,0.1153596974842782,0.174441891389766,0.1361786156826253,0.1427668825191046,0.0939186285183365,0.1410937006053115,0.1962405838005777
ppo_lstm_full_ensemble,locked_oos_v1,2025-10-31,2025-11-28,19,True,-0.003930522896221311,-0.0039814090162939575,140695.92566162453,-0.0039814090162940685,0.05108822335607176,drifted_pretrade_v1,5.108822335607176e-05,0.0,0.07671232876712329,0.0,0.0,0.9999999999999996,0.9999999999999996,0.1174633109343371,0.1722596999124755,0.1507193225768527,0.1302458460309676,0.0943025450089148,0.142840304026114,0.1921689715103379
ppo_lstm_full_ensemble,locked_oos_v1,2025-11-28,2025-12-31,22,True,0.008532535317596457,0.008458105029559126,141885.94657810158,0.0,0.07380330536221401,drifted_pretrade_v1,7.380330536221401e-05,0.0,0.09041095890410959,0.0,0.0,0.9999999999999998,0.9999999999999998,0.1235678429249673,0.1750649970490485,0.1539159530773759,0.1230156348086894,0.1189385561738162,0.1143601493444293,0.1911368666216732
ppo_lstm_full_ensemble,locked_oos_v1,2025-12-31,2026-01-30,19,True,0.049324262594811596,0.049269308531983524,148876.5690564106,0.0,0.05237227788812851,drifted_pretrade_v1,5.237227788812851e-05,0.0,0.0821917808219178,0.0,0.0,0.9999999999999997,0.9999999999999997,0.1218687068338372,0.1747468110772649,0.1520296541641333,0.1239045217766293,0.092313123787088,0.1399310557770408,0.1952061265840063
ppo_lstm_full_ensemble,locked_oos_v1,2026-01-30,2026-02-27,14,False,-0.008074422259197966,-0.008133406891060346,147665.69534372978,-0.008133406891060346,0.05946654366967501,drifted_pretrade_v1,5.946654366967501e-05,0.0,0.07671232876712329,0.0,0.0,0.9999999999999991,0.9999999999999991,0.1178173334271247,0.1774894098219062,0.1507123852082127,0.1299183526009852,0.0935869670872176,0.1364679644283438,0.194007587426209
ppo_lstm_full_ensemble,locked_oos_v1,2026-02-27,2026-03-31,22,True,-0.056639618529693014,-0.056703426788998534,139292.54439856004,-0.06437564163786647,0.06764161250566841,drifted_pretrade_v1,6.764161250566842e-05,0.0,0.08767123287671233,0.0,0.0,1.0,1.0,0.1245466141928254,0.1755899499602882,0.1549568179030237,0.1218629551552503,0.1185502383359042,0.1119646888425839,0.1925287356101243
ppo_lstm_full_ensemble,locked_oos_v1,2026-03-31,2026-04-30,20,True,0.08053478057163299,0.08045870878645323,150499.8426644479,0.0,0.07040445571531005,drifted_pretrade_v1,7.040445571531005e-05,0.0,0.0821917808219178,0.0,0.0,0.9999999999999998,0.9999999999999998,0.1486247941352692,0.18078196968085,0.1575139673626315,0.1086047393935067,0.1043812053943318,0.1126652753878651,0.1874280486455454
ppo_lstm_full_ensemble,locked_oos_v1,2026-04-30,2026-05-29,17,True,0.02558267953860005,0.02540146284163658,154322.75882556103,0.0,0.17671194397897552,drifted_pretrade_v1,0.00017671194397897552,0.0,0.07945205479452055,0.0,0.0,0.9999999999999994,0.9999999999999994,0.1107350141608289,0.1721138164268007,0.129760764153408,0.1458485086315442,0.100654006363558,0.1470173232124319,0.1938705670514277
ppo_lstm_full_ensemble,locked_oos_v1,2026-05-29,2026-06-30,21,True,-0.017089677715581897,-0.017130732871449394,151679.09686813524,-0.017130732871449394,0.04176984652254377,drifted_pretrade_v1,4.1769846522543773e-05,0.0,0.08767123287671233,0.0,0.0,0.9999999999999999,0.9999999999999999,0.1177284131292254,0.1718340653460473,0.1346716655883937,0.1371343219652772,0.0963167150039226,0.1486785374116153,0.1936362815555184
