scope,source_id,evidence_class,canonical_strategy_id,strategy_id,window_id,transaction_cost_bps_one_way,annual_short_borrow_percent,annual_cash_borrow_percent,observations,elapsed_years,total_return,cagr,annualized_volatility,max_drawdown,annualized_certainty_equivalent_return
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261003,full_vine_state_and_cvar_observation__seed_20261003,locked_oos_v1,10,3,2,22,1.8383561643835618,0.37989940079887297,0.1914395097137891,0.13208456591058956,0.08911301529830862,0.1819539209898553
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261004,full_vine_state_and_cvar_observation__seed_20261004,locked_oos_v1,10,3,2,22,1.8383561643835618,0.8426704169506993,0.39442138507671065,0.1886110696465658,0.09264570621395962,0.3728091455045768
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261005,full_vine_state_and_cvar_observation__seed_20261005,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5546713738485851,0.2712897488610433,0.16422688035770422,0.08304970347471663,0.25567607908132106
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261006,full_vine_state_and_cvar_observation__seed_20261006,locked_oos_v1,10,3,2,22,1.8383561643835618,0.19000953109312935,0.09925066492194445,0.11164584550224771,0.0767380074135593,0.09276604247740083
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261007,full_vine_state_and_cvar_observation__seed_20261007,locked_oos_v1,10,3,2,22,1.8383561643835618,0.3569680977719929,0.18062816941801008,0.15686059323613735,0.15973442454616493,0.16690883130747514
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261008,full_vine_state_and_cvar_observation__seed_20261008,locked_oos_v1,10,3,2,22,1.8383561643835618,0.8720012242342983,0.40645160873419317,0.16589614135921937,0.06418125085394011,0.3895407527449948
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261009,full_vine_state_and_cvar_observation__seed_20261009,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5404659774075382,0.26495779759766247,0.15583511428877087,0.08749401045354377,0.2508971023508635
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261010,full_vine_state_and_cvar_observation__seed_20261010,locked_oos_v1,10,3,2,22,1.8383561643835618,0.44108620288289435,0.21989278419043634,0.14330491131003661,0.061068062840992865,0.20877454636076997
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation_ensemble,full_vine_state_and_cvar_observation_ensemble,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5237073882567471,0.25745344196906794,0.1230052495602417,0.05942917004429571,0.24873055201208882
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261001,historical_only_no_synthetic_pretraining__seed_20261001,locked_oos_v1,10,3,2,22,1.8383561643835618,0.3919746982665162,0.1970996733462258,0.14785805226791893,0.12908278064986745,0.1849607159833795
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261002,historical_only_no_synthetic_pretraining__seed_20261002,locked_oos_v1,10,3,2,22,1.8383561643835618,0.7329739542499689,0.34863468934645914,0.17906848931373873,0.09093446992150034,0.32948762801896914
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261003,historical_only_no_synthetic_pretraining__seed_20261003,locked_oos_v1,10,3,2,22,1.8383561643835618,1.2362900641883692,0.5492831705318972,0.2571658443284623,0.06410302755023134,0.5105362816851884
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261004,historical_only_no_synthetic_pretraining__seed_20261004,locked_oos_v1,10,3,2,22,1.8383561643835618,0.7041307671751087,0.33637796717100077,0.1533782867578974,0.048099518393499574,0.3228718907884198
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261005,historical_only_no_synthetic_pretraining__seed_20261005,locked_oos_v1,10,3,2,22,1.8383561643835618,0.25584901675951444,0.1319270098921712,0.16170328817521704,0.16039820353743695,0.11780243303902949
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261006,historical_only_no_synthetic_pretraining__seed_20261006,locked_oos_v1,10,3,2,22,1.8383561643835618,1.2491154138089469,0.5541101505670467,0.2126545159931398,0.09792932009102051,0.5241342738915886
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261007,historical_only_no_synthetic_pretraining__seed_20261007,locked_oos_v1,10,3,2,22,1.8383561643835618,2.0580745839834442,0.8368191079997709,0.2681311789951542,0.07875610087921148,0.7869921434416194
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261008,historical_only_no_synthetic_pretraining__seed_20261008,locked_oos_v1,10,3,2,22,1.8383561643835618,1.0796298574646457,0.4892686051947035,0.23914896858373685,0.04189450739253664,0.45624612623668637
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261009,historical_only_no_synthetic_pretraining__seed_20261009,locked_oos_v1,10,3,2,22,1.8383561643835618,1.5886803580100715,0.6776443180308331,0.25608565750023143,0.0693837005279403,0.6336205683758052
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining__seed_20261010,historical_only_no_synthetic_pretraining__seed_20261010,locked_oos_v1,10,3,2,22,1.8383561643835618,0.8742937636760633,0.4073882744156214,0.181850679115074,0.061434952853288705,0.3876363909028473
complete_periods,causal_components,post_holdout_explanatory,causal_components::historical_only_no_synthetic_pretraining_ensemble,historical_only_no_synthetic_pretraining_ensemble,locked_oos_v1,10,3,2,22,1.8383561643835618,1.0069126130469792,0.46071222126024614,0.1656828548320084,0.05262330478248756,0.44377336061573014
complete_periods,causal_components,post_holdout_explanatory,causal_components::keep_vine_features_zero_cvar_observation__seed_20261001,keep_vine_features_zero_cvar_observation__seed_20261001,locked_oos_v1,10,3,2,22,1.8383561643835618,0.8182786367207786,0.38435027036762603,0.18410336892156892,0.06329176153007843,0.3636393638083981
