stage,pass,episode,reward,noise,terminal_wealth,mean_turnover,q95_turnover,mean_cvar,mean_gross_exposure,fraction_at_gross_cap,mean_short_notional,max_abs_weight,total_actions,update_count
pretrain,,12,0.10761224682434037,0.290247171485421,114540.28307932134,0.6861409090814137,1.1760554503117286,0.08055193209937167,1.011765922109286,0.0,0.005882961054642998,0.5864016999091421,288,483
pretrain,,13,-0.16893416317124849,0.28937642997096474,86911.66630049139,0.5735140159903538,1.0322682951177868,0.07641934931537638,1.0073154997080564,0.0,0.0036577498540282262,0.4930648271526609,312,555
pretrain,,14,-0.11037544114505697,0.2885083006810518,91637.55743337993,0.6496970782145148,1.020056073686906,0.07966590107893716,1.0004405832539003,0.0,0.00022029162695010504,0.48842275036232813,336,627
pretrain,,15,0.13132077455727598,0.2876427757790087,117613.80170522422,0.878049911221578,1.1830431167568478,0.076828645080548,1.0338302722112054,0.0,0.016915136105602694,0.5492280051112175,360,699
pretrain,,16,0.1749633956791227,0.2867798474516717,123880.6920560387,0.7170874800178266,1.3935892072107101,0.07420128318020706,1.0194254153895945,0.0,0.009712707694797288,0.547262433384146,384,771
pretrain,,17,0.12450123388325936,0.28591950790931664,116783.93172699376,0.6978869408901248,1.1544529927628377,0.08006909626670462,1.020239541395789,0.0,0.010119770697894553,0.536040373146534,408,843
pretrain,,18,-0.18714050863642076,0.2850617493855887,85657.6989469069,0.8059388417750597,1.19684623958809,0.08209635158337963,1.0344779157035406,0.0,0.01723895785177038,0.6421048087733132,432,915
pretrain,,19,0.2546548701810514,0.28420656413743195,137643.66933934536,0.6686915876787335,1.0914659338338033,0.07846463883070699,1.0082577876746655,0.0,0.004128893837332728,0.514510446361133,456,987
pretrain,,20,0.025753502215465532,0.28335394444501966,104568.82937356803,0.7219066804363615,1.2324268149478095,0.07474406274892965,1.0237546734334457,0.0,0.011877336716722878,0.7391101600868362,480,1059
pretrain,,21,0.07907116537681416,0.2825038826116846,110838.42581704307,0.7116365285501592,1.1997070886194703,0.07797770733491959,1.0281485582568815,0.0,0.01407427912844079,0.5174028862799918,504,1131
pretrain,,22,-0.18473243733855974,0.28165637096384954,85741.85786857404,0.7439073411126932,1.0760743007063864,0.0768372401899914,1.013229752846417,0.0,0.006614876423208487,0.49563687507595333,528,1203
pretrain,,23,0.2626976094959726,0.28081140185095793,139121.38605240255,0.6660246881878091,0.9187532201409339,0.0771068399247971,1.012096285553915,0.0,0.006048142776957582,0.538564024227006,552,1275
pretrain,,24,0.16770340878963813,0.2799689676454051,122958.5963638902,0.7537991014264879,1.1516240152929507,0.07922790959776109,1.0243932218956096,0.0,0.012196610947804795,0.7469100856355257,576,1347
pretrain,,25,0.30457457105591196,0.27912906074246885,147802.1351488223,0.7352523517218374,1.2600550349269592,0.07852173537945477,1.015501284439649,0.0,0.007750642219824452,0.5886596877660071,600,1419
pretrain,,26,-0.16831012734881312,0.2782916735602415,87021.56852780128,0.7942554777754204,1.4658632664808204,0.07987386714536397,1.012653497535558,0.0,0.006326748767778992,0.6680497495191438,624,1491
pretrain,,27,0.16643750145962324,0.27745679853956073,122749.32317057146,0.651486269508799,1.2428990087338854,0.07872523096586721,1.0194542262525785,0.0,0.009727113126289278,0.7403116279414721,648,1563
pretrain,,28,0.04877949581725446,0.27662442814394206,107270.87328825498,0.7412472938497862,1.0714261775570255,0.07917084537555724,1.0154983074892134,0.0,0.007749153744606746,0.518749292407717,672,1635
pretrain,,29,0.01861616562410389,0.2757945548595102,103905.26164273068,0.7907850649207832,1.3001610785722733,0.07903610348236724,1.0304943199846006,0.0,0.015247159992300334,0.6127800920179911,696,1707
pretrain,,30,0.09637448511336431,0.2749671711949317,113142.16190059978,0.7567982160974115,1.3399088281605924,0.08242374995387357,1.0200172189977905,0.0,0.010008609498895352,0.6606845142585891,720,1779
pretrain,,31,0.3476590311398054,0.2741422696813469,158038.1936000956,0.8220656358060383,1.3201447181403632,0.081593892471559,1.0159120709590967,0.0,0.007956035479548434,0.6035340364490236,744,1851
pretrain,,32,0.127438216327332,0.2733198428723029,117174.76442905235,0.8556662241795232,1.255351308626788,0.07973209442622249,1.0439445334708406,0.0,0.021972266735420343,0.7467673506055559,768,1923
