label,alternative_experiment_id,seed,paired_annualized_ce_difference,inference_scope
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261001,0.05335583942362154,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261002,0.011532450861581056,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261003,-0.21637788534930014,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261004,-0.0720011226187669,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261005,0.10699418659612348,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261006,0.1537867609872856,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261007,-0.07312523557176709,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261008,0.22102990761713137,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261009,0.12046045067223399,training_randomness_only
Joint policy-visible dependence contribution,zero_vine_features_and_cvar_observation,20261010,-0.09473124773870945,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261001,-0.1293800496789308,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261002,0.0196437282035562,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261003,-0.03607671705234439,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261004,0.19457794047029497,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261005,0.08074445639825889,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261006,-0.19330828695964875,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261007,0.09156258674860007,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261008,0.060194439828118895,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261009,0.06685697251435818,training_randomness_only
CVaR reward-shaping contribution,zero_cvar_reward_keep_state,20261010,-0.06085405141559286,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261001,0.031036873237435092,training_randomness_only
Synthetic NN-vine pretraining contribution,historical_only_no_synthetic_pretraining,20261002,-0.14537514749786395,training_randomness_only
