Loading configuration from: /gabirel/copula-portfolio-clean/config/config.yaml 
Run mode: full | seed: 20261004 | CVaR simulations/step: 512 | vine simulation cores: 48
Loading synthetic return bundle: data/synthetic_returns.RData
Loaded 1000 pre-training and 61 fine-tuning episodes.
Fine-tuning selection: 37 fit episodes, 23 purged overlapping episodes, 1 validation episode; final refit uses all 61.
Run seed: 20261004
Run mode: full
PyTorch: 2.10.0+cu128
Device: cuda
Action schema: interior_rank_partition_leverage_gate_v5; projection temperature=1.5
Experiment: algorithm=sac; encoder=lstm; vine_features=full; cvar_observation=full; cvar_reward=full; pretraining=vine_synthetic; finetune=True
GPU: NVIDIA A100-SXM4-80GB
PYTHON: Framework ready.
Action schema: interior_rank_partition_leverage_gate_v5 | gross=1.500 | net=1.000 | max_long=0.600 | max_short=0.200
Risk/training: entropy_coef=0.1 | leverage_target=0.800 | leverage_penalty=0.25 | direction_bound=5.000 | AMP=False

============================================================
Stage 1: Pre-training (vine_synthetic)

============================================================
============================================================
STAGE 1: PRE-TRAINING
============================================================
============================================================
TRAIN STAGE STARTED: stage=pretrain, episodes=1000, batch_size=128, updates_per_step=1
============================================================
Episode 70  Reward:  -0.052802  Wealth:    102532.79  Turnover: 0.4745  Gross: 1.5000  Gate: 1.0000
Episode     70  AvgReward:   0.047932  Noise: 0.1306
Episode 71  Reward:   0.114624  Wealth:    123437.32  Turnover: 0.6130  Gross: 1.5000  Gate: 1.0000
Episode 72  Reward:   0.176920  Wealth:    134293.93  Turnover: 0.4024  Gross: 1.5000  Gate: 1.0000
Episode 73  Reward:   0.218266  Wealth:    142417.03  Turnover: 0.5515  Gross: 1.5000  Gate: 1.0000
Episode 74  Reward:   0.177279  Wealth:    136053.97  Turnover: 0.5876  Gross: 1.5000  Gate: 1.0000
Episode 75  Reward:   0.092257  Wealth:    121780.50  Turnover: 0.4977  Gross: 1.5000  Gate: 1.0000
Episode 76  Reward:   0.004713  Wealth:    109658.97  Turnover: 0.4988  Gross: 1.4999  Gate: 0.9999
Episode 77  Reward:  -0.081429  Wealth:    102142.95  Turnover: 0.7007  Gross: 1.4996  Gate: 0.9993
Episode 78  Reward:   0.066791  Wealth:    121201.67  Turnover: 0.5245  Gross: 1.4999  Gate: 0.9998
Episode 79  Reward:   0.250443  Wealth:    155901.95  Turnover: 0.4980  Gross: 1.5000  Gate: 1.0000
