job_family,experiment_id,seed,output_dir,scientific_question,contract_sha256,RL_ALGORITHM,POLICY_ENCODER,VINE_FEATURE_MODE,CVAR_OBSERVATION_MODE,CVAR_REWARD_MODE,PRETRAIN_DATA_MODE,RUN_FINETUNE,SYNTHETIC_RETURNS_FILE,CHECKPOINT_PREFIX,LR_ACTOR,LR_CRITIC,ENTROPY_COEF,PRETRAIN_BEHAVIOR_GATE_MODE,declared_pretrain_behavior_gate_mode,operational_source,gate_path_equivalence
causal_ablation,full_vine_state_and_cvar_observation,20261003,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261003,Reference TD3-LSTM policy under the complete information and reward design.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,full_vine_state_and_cvar_observation,20261004,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261004,Reference TD3-LSTM policy under the complete information and reward design.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,full_vine_state_and_cvar_observation,20261005,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261005,Reference TD3-LSTM policy under the complete information and reward design.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,full_vine_state_and_cvar_observation,20261006,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261006,Reference TD3-LSTM policy under the complete information and reward design.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,full_vine_state_and_cvar_observation,20261007,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261007,Reference TD3-LSTM policy under the complete information and reward design.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,full_vine_state_and_cvar_observation,20261008,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261008,Reference TD3-LSTM policy under the complete information and reward design.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,full_vine_state_and_cvar_observation,20261009,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261009,Reference TD3-LSTM policy under the complete information and reward design.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,full_vine_state_and_cvar_observation,20261010,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261010,Reference TD3-LSTM policy under the complete information and reward design.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,historical_only_no_synthetic_pretraining,20261001,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261001,Does vine-generated pretraining add value relative to a matched-update historical-prefix control?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,historical_prefix_repeated,true,data/ablation_training_bundles/historical_prefix_repeated.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only,report_only,v4_report_only,not_applicable
causal_ablation,historical_only_no_synthetic_pretraining,20261002,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261002,Does vine-generated pretraining add value relative to a matched-update historical-prefix control?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,historical_prefix_repeated,true,data/ablation_training_bundles/historical_prefix_repeated.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only,report_only,v4_report_only,not_applicable
