experiment_id,seed,gpu,exit_code,duration_seconds,output_dir,checkpoint_exists,gate_exists,passed,stdout,stderr,operational_source
keep_vine_features_zero_cvar_observation,20261002,1,0,691.3045883679297,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261002,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261002.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261002.stderr.txt,v2_strict
keep_vine_features_zero_cvar_observation,20261003,0,0,686.8092087979894,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261003,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261003.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261003.stderr.txt,v2_strict
keep_vine_features_zero_cvar_observation,20261004,1,0,690.811006844975,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261004,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261004.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261004.stderr.txt,v2_strict
keep_vine_features_zero_cvar_observation,20261005,0,0,679.9821111361962,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261005,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261005.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261005.stderr.txt,v2_strict
keep_vine_features_zero_cvar_observation,20261006,1,0,691.7750930599868,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261006,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261006.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261006.stderr.txt,v2_strict
keep_vine_features_zero_cvar_observation,20261007,0,0,684.2631900848355,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261007,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261007.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261007.stderr.txt,v2_strict
keep_vine_features_zero_cvar_observation,20261008,1,0,686.4222179620992,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261008,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261008.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261008.stderr.txt,v2_strict
keep_vine_features_zero_cvar_observation,20261009,0,0,688.6186951750424,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261009,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261009.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261009.stderr.txt,v2_strict
keep_vine_features_zero_cvar_observation,20261010,1,0,690.9398667279165,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261010,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261010.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261010.stderr.txt,v2_strict
moving_block_bootstrap_pretraining,20261001,0,0,679.3382570820395,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261001,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261001.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261001.stderr.txt,v4_report_only
