update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,entropy_temperature,stage,episode,step,pass
1900,0.046402789652347565,-1.0587586164474487,0.8919386863708496,0.860381007194519,0.8435520529747009,0.04015762731432915,2.453810691833496,0.05391407757997513,pretrain,85,11,
2000,0.030487965792417526,-1.109779715538025,0.926891565322876,0.8958585858345032,0.9153704643249512,0.0409754179418087,1.1813079118728638,0.052129484713077545,pretrain,89,15,
2100,0.021961376070976257,-1.16779363155365,1.0176563262939453,0.9912734031677246,0.9956985712051392,0.034205734729766846,0.5710306763648987,0.050401728600263596,pretrain,93,19,
2200,0.01929023489356041,-1.2669055461883545,1.0652344226837158,1.067537546157837,1.0690569877624512,0.03179283067584038,0.44156721234321594,0.04872635006904602,pretrain,97,23,
2300,0.022803425788879395,-1.2765876054763794,1.119692087173462,1.1019432544708252,1.111501932144165,0.034662630409002304,0.8904200792312622,0.04710856452584267,pretrain,102,3,
2400,0.02009810134768486,-1.3894908428192139,1.1552127599716187,1.1819885969161987,1.1957181692123413,0.03677964583039284,1.4582587480545044,0.0455462746322155,pretrain,106,7,
2500,0.022596457973122597,-1.4260897636413574,1.1997861862182617,1.2126555442810059,1.2040176391601562,0.031060559675097466,0.7085880637168884,0.0440327413380146,pretrain,110,11,
2600,0.025615781545639038,-1.468047857284546,1.291879415512085,1.2735159397125244,1.2609460353851318,0.029170576483011246,1.2655651569366455,0.042573198676109314,pretrain,114,15,
2700,0.024241317063570023,-1.607118844985962,1.3904117345809937,1.3927525281906128,1.3660969734191895,0.028495576232671738,1.877202033996582,0.041161198168992996,pretrain,118,19,
2800,0.02053910866379738,-1.6820112466812134,1.459676742553711,1.4825575351715088,1.4881234169006348,0.03436056151986122,1.3487884998321533,0.03979748487472534,pretrain,122,23,
2900,0.018670644611120224,-1.6570448875427246,1.4772428274154663,1.470836877822876,1.5019170045852661,0.027295000851154327,1.3705854415893555,0.03847793862223625,pretrain,127,3,
3000,0.015633050352334976,-1.7454161643981934,1.5437994003295898,1.5470950603485107,1.5772045850753784,0.03219270333647728,1.8533493280410767,0.03720596432685852,pretrain,131,7,
3100,0.01688074693083763,-1.8079793453216553,1.6322851181030273,1.6475023031234741,1.639348030090332,0.0339483805000782,0.990288257598877,0.03597663342952728,pretrain,135,11,
3200,0.01933318004012108,-1.649953842163086,1.4940268993377686,1.4492051601409912,1.5081980228424072,0.05098250135779381,3.087451934814453,0.03479069471359253,pretrain,139,15,
3300,0.01763610541820526,-1.8150129318237305,1.6106759309768677,1.6597466468811035,1.6420310735702515,0.05265294387936592,1.9270652532577515,0.03364521637558937,pretrain,143,19,
3400,0.015957556664943695,-1.9197055101394653,1.7450166940689087,1.7345004081726074,1.7460291385650635,0.029916921630501747,0.7537997364997864,0.032537203282117844,pretrain,147,23,
3500,0.02339470013976097,-1.9475021362304688,1.7171058654785156,1.786641001701355,1.714447259902954,0.07394380122423172,4.074453830718994,0.03146558627486229,pretrain,152,3,
3600,0.015072332695126534,-2.117581367492676,1.9199554920196533,1.9276423454284668,1.8959522247314453,0.03449249267578125,2.280815839767456,0.030428100377321243,pretrain,156,7,
