============================================================
PYTHON DEBUG LOG STARTED
============================================================
[19:06:38] Run seed: 20261007
[19:06:38] Run mode: full
[19:06:38] PyTorch: 2.10.0+cu128
[19:06:38] Device: cuda
[19:06:38] Action schema: interior_rank_partition_leverage_gate_v5; projection temperature=1.5
[19:06:38] Experiment: algorithm=sac; encoder=lstm; vine_features=full; cvar_observation=full; cvar_reward=full; pretraining=vine_synthetic; finetune=True
[19:06:38] GPU: NVIDIA A100-SXM4-80GB
[19:06:38] PYTHON: Framework ready.
[19:06:38] Action schema: interior_rank_partition_leverage_gate_v5 | gross=1.500 | net=1.000 | max_long=0.600 | max_short=0.200
[19:06:38] Risk/training: entropy_coef=0.1 | leverage_target=0.800 | leverage_penalty=0.25 | direction_bound=5.000 | AMP=False
[19:06:38] ============================================================
[19:06:38] STAGE 1: PRE-TRAINING
[19:06:38] ============================================================
[19:06:38] ============================================================
[19:06:38] TRAIN STAGE STARTED: stage=pretrain, episodes=1000, batch_size=128, updates_per_step=1
[19:06:38] ============================================================
[19:07:23] Episode 51  Reward:   0.092034  Wealth:    134983.02  Turnover: 0.1970  Gross: 1.5000  Gate: 1.0000
[19:07:24] Episode 52  Reward:  -0.090469  Wealth:    108414.58  Turnover: 0.1942  Gross: 1.5000  Gate: 1.0000
[19:07:25] Episode 53  Reward:  -0.592169  Wealth:     70238.48  Turnover: 0.1785  Gross: 1.5000  Gate: 1.0000
[19:07:26] Episode 54  Reward:  -2.184265  Wealth:     33137.98  Turnover: 0.1544  Gross: 1.5000  Gate: 1.0000
[19:07:27] Episode 55  Reward:   0.286210  Wealth:    182880.89  Turnover: 0.2167  Gross: 1.5000  Gate: 1.0000
[19:07:28] Episode 56  Reward:   0.180784  Wealth:    154453.17  Turnover: 0.1899  Gross: 1.5000  Gate: 1.0000
[19:07:29] Episode 57  Reward:  -0.872935  Wealth:     58461.82  Turnover: 0.3004  Gross: 1.5000  Gate: 1.0000
[19:07:30] Episode 58  Reward:  -0.282672  Wealth:     89937.18  Turnover: 0.3137  Gross: 1.5000  Gate: 1.0000
[19:07:31] Episode 59  Reward:  -0.142023  Wealth:    102940.32  Turnover: 0.2613  Gross: 1.5000  Gate: 1.0000
[19:07:32] Episode 60  Reward:  -0.172920  Wealth:     99848.78  Turnover: 0.3189  Gross: 1.5000  Gate: 1.0000
[19:07:32] Episode     60  AvgReward:  -0.377842  Noise: 0.1333
[19:07:33] Episode 61  Reward:   0.090150  Wealth:    135591.70  Turnover: 0.2597  Gross: 1.5000  Gate: 1.0000
[19:07:34] Episode 62  Reward:  -0.570145  Wealth:     71321.21  Turnover: 0.2503  Gross: 1.5000  Gate: 1.0000
[19:07:35] Episode 63  Reward:  -0.228491  Wealth:     94931.64  Turnover: 0.2365  Gross: 1.5000  Gate: 1.0000
[19:07:36] Episode 64  Reward:   0.040851  Wealth:    126930.08  Turnover: 0.2255  Gross: 1.5000  Gate: 1.0000
[19:07:37] Episode 65  Reward:  -0.287175  Wealth:     89512.82  Turnover: 0.2532  Gross: 1.5000  Gate: 1.0000
[19:07:38] Episode 66  Reward:   0.103284  Wealth:    137323.79  Turnover: 0.1985  Gross: 1.5000  Gate: 1.0000
[19:07:39] Episode 67  Reward:  -0.476080  Wealth:     76536.68  Turnover: 0.2920  Gross: 1.5000  Gate: 1.0000
