seed,model,episodes,steps,unique_calendar_decisions,return_replication_error,all_values_finite,mean_terminal_wealth,median_terminal_wealth,q05_terminal_wealth,q95_terminal_wealth,min_terminal_wealth,max_terminal_wealth,mean_episode_reward,mean_max_drawdown,worst_max_drawdown,mean_turnover,median_turnover,q95_turnover,mean_cvar,mean_gross_exposure,max_gross_exposure,fraction_at_gross_cap,max_net_exposure_error,gross_exposure_violation,long_weight_violation,short_weight_violation,fraction_steps_with_short,mean_short_notional,mean_leverage_gate,q95_leverage_gate,std_leverage_gate,mean_effective_leverage,gate_gross_mae,fraction_at_position_cap,mean_direction_entropy,mean_normalized_direction_entropy,q05_normalized_direction_entropy,mean_effective_positions,max_abs_weight,fraction_concentrated_weight,mean_cross_asset_weight_sd,apparent_expost_top_hit_rate,apparent_expost_bottom_hit_rate,mean_cross_sectional_weight_next_return_correlation,hard_constraints_pass
20260748,pretrained,61,1464,84,0.0,True,121451.92501603629,121333.77968086762,97131.59595390974,147779.53448992476,94939.29495101768,166253.47714220098,0.0724975818613062,-0.1504877477214357,-0.2189298638948856,0.6449196540056615,0.55814664943942,1.507375534065066,0.0741068752994646,1.3924717952389702,1.4291929570691928,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1962358976194852,0.7849435700419171,0.8217747718095779,0.0248026108690159,0.7849435904779406,6.13037086749828e-08,0.0,1.0196126459644792,0.8856242916422944,0.8074885887711737,4.382926454309557,0.5893702443156923,0.0,0.2249984925648295,0.1904761904761904,0.119047619047619,0.0666992066314411,True
20260748,full,61,1464,84,0.0,True,128944.13487914576,123214.29999432026,99278.81988672884,171083.98271647785,96433.78485858272,176828.08211045613,0.1215710007269383,-0.0939932818623133,-0.1572937653359738,0.3710751109436637,0.3081513315971409,1.146049651077815,0.0633629443577699,1.4026600889186176,1.428983924644334,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.2013300444593087,0.8053201579493903,0.8253848373889923,0.0132356776445896,0.8053201778372349,5.89394143554608e-08,0.0,0.957537674472306,0.8317066564755894,0.7669834395932048,3.8005648188577976,0.5868334844708443,0.0,0.250578041697477,0.1785714285714285,0.119047619047619,0.0367363790224965,True
20260749,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260749,pretrained,61,1464,84,0.0,True,128826.1138229781,126917.03022852103,104937.88363947211,164358.77143890603,102008.7674198231,183712.25867441983,0.1310212850063573,-0.1205073988079641,-0.1974687731467146,0.5177417305908125,0.3537520258022206,1.5049424787185024,0.0639815807894001,1.402029536368222,1.4237254006522042,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.201014768184111,0.8040590497558234,0.8287121385335923,0.0152298836219593,0.8040590727364442,5.903101985945675e-08,0.0,0.9303680470243828,0.8081074179235893,0.721178034857483,3.671626801699237,0.5847144201397896,0.0,0.2582218694901018,0.1666666666666666,0.1904761904761904,0.0805091123620444,True
20260749,full,61,1464,84,0.0,True,121419.92814054793,120652.4872037272,107686.10321120394,138018.19554806995,104256.90267688896,145575.15766760235,0.1006256667398304,-0.1096109196106778,-0.1596044144527953,0.4505071115935771,0.2669433276834232,1.5559205191076866,0.0585863076317711,1.4023863664725729,1.42990109537329,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.2011931832362865,0.8047727151402359,0.8305736273527146,0.0178076074649413,0.804772732945146,5.94301581031638e-08,0.0,0.9162346442214778,0.795831300227954,0.7282657760655802,3.642937945212172,0.574912065906184,0.0,0.2588970364508197,0.1785714285714285,0.2023809523809523,0.0893348698089998,True
20260750,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260750,pretrained,61,1464,84,0.0,True,135026.27722842884,129926.07087421992,88576.7759816436,188131.205057846,88286.97048190536,215624.6002544919,0.1105218625487549,-0.1310058477942321,-0.2177395482984313,0.8855858488800114,0.8408324753067322,1.6170132971235676,0.0866142026847023,1.3980383247989143,1.4243203231266566,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1990191623994573,0.7960766281912236,0.8310074716806412,0.0231853198908592,0.7960766495978292,5.859553021935758e-08,0.0,1.022967463634053,0.8885382492456696,0.8239473611433662,4.402996629802256,0.591564736195973,0.0,0.225256949281545,0.2142857142857142,0.1666666666666666,0.081045173255844,True
20260750,full,61,1464,84,0.0,True,142405.44088009762,139037.19804475072,117836.83536148768,178508.95513453832,116208.5337415306,202658.36276402825,0.1980141581099321,-0.0812687010885587,-0.1151862737697466,0.6459295233460048,0.53594248475773,1.4831272515069154,0.0740668928929787,1.3986856950902085,1.428901414786066,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1993428475451041,0.7973713682241779,0.827610781788826,0.0295003971849604,0.7973713901804165,5.7250528852549073e-08,0.0,0.9831769305581604,0.8539766313519714,0.7898096424531827,4.046357592435482,0.5930633502347129,0.0,0.2392499732873086,0.238095238095238,0.1785714285714285,0.1068861759550167,True
20260751,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260751,pretrained,61,1464,84,0.0,True,119116.37847801196,118080.88997660652,95519.40222726004,146237.7211575177,92867.52918837604,167689.45148795506,0.052823672108457,-0.1444317279456577,-0.2623586247824858,0.646410706941588,0.5951731460435049,1.3803935859884535,0.0771720314353487,1.3969203705908868,1.4245342910289764,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1984601852954434,0.7938407218195701,0.8265298336744309,0.0209409811883506,0.7938407411817736,5.747881557146434e-08,0.0,1.0403845664419111,0.9036665525260582,0.8385345003479908,4.597729012451537,0.5798886514135769,0.0,0.2177554047665873,0.1785714285714285,0.1428571428571428,0.0563985856763609,True
