seed,model,perturbation,mean_action_l1_change,median_action_l1_change,q95_action_l1_change,mean_leverage_gate_abs_change,median_leverage_gate_abs_change,mean_direction_entropy_abs_change
20260745,pretrained,neutral_holdings,0.0456270659679567,0.0300568873062729,0.1331433124840259,0.003382320164657,0.0026484429836273,0.0045778255075053
20260745,pretrained,reverse_time,1.299231928534032,1.2957175374031067,2.280182242393493,0.0448342554596929,0.0313557088375091,0.0644286580261637
20260745,pretrained,zero_returns_volatility,1.9567068299797716,1.9788290858268736,2.458168852329254,0.1659989523920205,0.1683697402477264,0.044148385036187
20260745,pretrained,zero_vine,0.23240865587608,0.1838421821594238,0.5406228989362716,0.0148109316500158,0.0127381682395935,0.0242730083524203
20260746,full,neutral_holdings,0.0608250076553015,0.0444400124251842,0.2490148447453972,0.0016803649442443,0.0012821853160858,0.0050791466170972
20260746,full,reverse_time,1.2714583319840862,1.249419629573822,2.1882848143577576,0.055641158865612,0.0404400825500488,0.0543303818243448
20260746,full,zero_returns_volatility,1.6935379731524838,1.7741949558258057,2.0418331265449523,0.2927465601900562,0.2971437573432922,0.051477463600414
20260746,full,zero_vine,0.1406448007207567,0.1031136699020862,0.404034249484539,0.0079415084315779,0.0060412585735321,0.0117697435650017
20260746,pretrained,neutral_holdings,0.0543109941127063,0.027741814032197,0.2900411322712897,0.0021376467304802,0.0017096102237701,0.0040157864002582
20260746,pretrained,reverse_time,1.266478724439267,1.277869701385498,2.1810372471809383,0.0532023174067338,0.0369590818881988,0.0490445666462997
20260746,pretrained,zero_returns_volatility,1.4428518799036905,1.470519483089447,1.9266438901424403,0.3212167769466919,0.3346357345581054,0.05102714208143
20260746,pretrained,zero_vine,0.2188005603256996,0.1700123474001884,0.5013091593980789,0.0112026200268437,0.0090809762477874,0.014804222056123
20260747,full,neutral_holdings,0.034884464579044,0.0037811324000358,0.1545883581042288,0.0013872591035613,0.0011232197284698,0.0053403734590837
20260747,full,reverse_time,0.6793594508758832,0.383701428771019,1.8548816859722137,0.0365984413386042,0.0225936770439147,0.0440278959160294
20260747,full,zero_returns_volatility,0.6259162337850026,0.5291510224342346,1.1746470987796782,0.3787305766889632,0.3886170387268066,0.094634588461756
20260747,full,zero_vine,0.1545496125320033,0.0777483433485031,0.527731117606163,0.0069867945352538,0.005248486995697,0.0170571710405453
20260747,pretrained,neutral_holdings,0.044214483033713,0.024468146264553,0.2302265673875806,0.0018391468730129,0.0017371177673339,0.0080892113062853
20260747,pretrained,reverse_time,0.8500771198772871,0.7829245328903198,1.6893605053424832,0.0431347914813646,0.0289605259895324,0.0708667973433036
20260747,pretrained,zero_returns_volatility,0.6687759440392256,0.5770763158798218,1.2539512932300567,0.3418260770213734,0.3472829461097717,0.0817337665971511
